*** CreateTypeLogger.CreateLog4Net: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
Min = 200.0000 ns, Q1 = 200.0000 ns, Median = 200.0000 ns, Q3 = 250.0000 ns, Max = 700.0000 ns
IQR = 50.0000 ns, LowerFence = 125.0000 ns, UpperFence = 325.0000 ns
ConfidenceInterval = [146.4851 ns; 353.5149 ns] (CI 99.9%), Margin = 103.5149 ns (41.41% of Mean)
Skewness = 2.74, Kurtosis = 10.31, MValue = 2.4
-------------------- Histogram --------------------
[161.573 ns ; 261.573 ns) | @
[261.573 ns ; 338.427 ns) | @@@
[338.427 ns ; 438.427 ns) | @
[438.427 ns ; 515.281 ns) | 
[515.281 ns ; 592.135 ns) | 
[592.135 ns ; 661.573 ns) | 
[661.573 ns ; 738.427 ns) | @
---------------------------------------------------

* Statistics for WorkloadWarmup
Mean = 51.9286 us, StdErr = 4.6282 us (8.91%); N = 7, StdDev = 12.2451 us
Min = 31.7000 us, Q1 = 44.9000 us, Median = 50.8000 us, Q3 = 58.5000 us, Max = 70.7000 us
IQR = 13.6000 us, LowerFence = 24.5000 us, UpperFence = 78.9000 us
ConfidenceInterval = [24.3499 us; 79.5072 us] (CI 99.9%), Margin = 27.5787 us (53.11% of Mean)
Skewness = -0.12, Kurtosis = 1.89, MValue = 2.5
-------------------- Histogram --------------------
[26.099 us ; 37.301 us) | @
[37.301 us ; 48.149 us) | @
[48.149 us ; 59.351 us) | @@@@
[59.351 us ; 65.099 us) | 
[65.099 us ; 76.301 us) | @
---------------------------------------------------

* Statistics for WorkloadActual
Mean = 52.5720 us, StdErr = 1.2815 us (2.44%); N = 100, StdDev = 12.8155 us
Min = 30.1000 us, Q1 = 43.3500 us, Median = 55.5500 us, Q3 = 58.4000 us, Max = 88.4000 us
IQR = 15.0500 us, LowerFence = 20.7750 us, UpperFence = 80.9750 us
ConfidenceInterval = [48.2256 us; 56.9184 us] (CI 99.9%), Margin = 4.3464 us (8.27% of Mean)
Skewness = -0.05, Kurtosis = 2.51, MValue = 3.09
-------------------- Histogram --------------------
[29.784 us ; 34.616 us) | @@@@@@@@@@@@@@
[34.616 us ; 39.566 us) | @@@@@@@
[39.566 us ; 44.966 us) | @@@@@@
[44.966 us ; 47.884 us) | @
[47.884 us ; 52.716 us) | @@@@@@@@@@@@@@@@
[52.716 us ; 58.966 us) | @@@@@@@@@@@@@@@@@@@@@@@
[58.966 us ; 62.766 us) | @@@@@
[62.766 us ; 68.034 us) | @@@
[68.034 us ; 72.866 us) | @@@@@@@@@@@@
[72.866 us ; 78.016 us) | @@
[78.016 us ; 82.848 us) | 
[82.848 us ; 85.984 us) | 
[85.984 us ; 90.816 us) | @
---------------------------------------------------

* Statistics for WorkloadResult
