*** CreateStringLogger.CreateLog4NetFromString: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
OverheadActual 13: 1 op, 100 ns, 100.0000 ns/op
OverheadActual 14: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 15: 1 op, 400 ns, 400.0000 ns/op
OverheadActual 16: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 17: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 18: 1 op, 300 ns, 300.0000 ns/op
OverheadActual 19: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 20: 1 op, 200 ns, 200.0000 ns/op
WorkloadWarmup 1: 1 op, 712000 ns, 712.0000 us/op
WorkloadWarmup 2: 1 op, 12200 ns, 12.2000 us/op
WorkloadWarmup 3: 1 op, 4700 ns, 4.7000 us/op
WorkloadWarmup 4: 1 op, 15600 ns, 15.6000 us/op
WorkloadWarmup 5: 1 op, 21500 ns, 21.5000 us/op
WorkloadWarmup 6: 1 op, 12400 ns, 12.4000 us/op
WorkloadWarmup 7: 1 op, 4700 ns, 4.7000 us/op
WorkloadWarmup 8: 1 op, 5600 ns, 5.6000 us/op
WorkloadWarmup 9: 1 op, 4900 ns, 4.9000 us/op
WorkloadActual 1: 1 op, 5700 ns, 5.7000 us/op
WorkloadActual 2: 1 op, 5200 ns, 5.2000 us/op
WorkloadActual 3: 1 op, 4900 ns, 4.9000 us/op
WorkloadActual 4: 1 op, 24900 ns, 24.9000 us/op
WorkloadActual 5: 1 op, 5300 ns, 5.3000 us/op
WorkloadActual 6: 1 op, 17500 ns, 17.5000 us/op
WorkloadActual 7: 1 op, 4900 ns, 4.9000 us/op
WorkloadActual 8: 1 op, 14500 ns, 14.5000 us/op
WorkloadActual 9: 1 op, 4500 ns, 4.5000 us/op
WorkloadActual 10: 1 op, 4700 ns, 4.7000 us/op
WorkloadActual 11: 1 op, 5300 ns, 5.3000 us/op
WorkloadActual 12: 1 op, 4400 ns, 4.4000 us/op
WorkloadActual 13: 1 op, 40600 ns, 40.6000 us/op
WorkloadActual 14: 1 op, 4600 ns, 4.6000 us/op
WorkloadActual 15: 1 op, 7500 ns, 7.5000 us/op
WorkloadActual 16: 1 op, 4700 ns, 4.7000 us/op
WorkloadActual 17: 1 op, 10700 ns, 10.7000 us/op
WorkloadActual 18: 1 op, 4700 ns, 4.7000 us/op
WorkloadActual 19: 1 op, 16100 ns, 16.1000 us/op
WorkloadActual 20: 1 op, 6000 ns, 6.0000 us/op
WorkloadActual 21: 1 op, 15100 ns, 15.1000 us/op
WorkloadActual 22: 1 op, 8600 ns, 8.6000 us/op
WorkloadActual 23: 1 op, 15800 ns, 15.8000 us/op
WorkloadActual 24: 1 op, 17400 ns, 17.4000 us/op
WorkloadActual 25: 1 op, 6900 ns, 6.9000 us/op
WorkloadActual 26: 1 op, 17900 ns, 17.9000 us/op
WorkloadActual 27: 1 op, 4800 ns, 4.8000 us/op
WorkloadActual 28: 1 op, 18300 ns, 18.3000 us/op
WorkloadActual 29: 1 op, 7400 ns, 7.4000 us/op
WorkloadActual 30: 1 op, 5200 ns, 5.2000 us/op
WorkloadActual 31: 1 op, 4900 ns, 4.9000 us/op
WorkloadActual 32: 1 op, 9500 ns, 9.5000 us/op
WorkloadActual 33: 1 op, 4800 ns, 4.8000 us/op
WorkloadActual 34: 1 op, 15400 ns, 15.4000 us/op
WorkloadActual 35: 1 op, 5000 ns, 5.0000 us/op
WorkloadActual 36: 1 op, 6600 ns, 6.6000 us/op
WorkloadActual 37: 1 op, 4900 ns, 4.9000 us/op
WorkloadActual 38: 1 op, 18900 ns, 18.9000 us/op
WorkloadActual 39: 1 op, 4600 ns, 4.6000 us/op
WorkloadActual 40: 1 op, 4600 ns, 4.6000 us/op
WorkloadActual 41: 1 op, 5100 ns, 5.1000 us/op
WorkloadActual 42: 1 op, 4700 ns, 4.7000 us/op
WorkloadActual 43: 1 op, 23800 ns, 23.8000 us/op
WorkloadActual 44: 1 op, 17300 ns, 17.3000 us/op
WorkloadActual 45: 1 op, 11200 ns, 11.2000 us/op
WorkloadActual 46: 1 op, 5000 ns, 5.0000 us/op
WorkloadActual 47: 1 op, 16300 ns, 16.3000 us/op
WorkloadActual 48: 1 op, 4800 ns, 4.8000 us/op
WorkloadActual 49: 1 op, 22100 ns, 22.1000 us/op
WorkloadActual 50: 1 op, 5400 ns, 5.4000 us/op
WorkloadActual 51: 1 op, 9100 ns, 9.1000 us/op
WorkloadActual 52: 1 op, 5700 ns, 5.7000 us/op
WorkloadActual 53: 1 op, 6300 ns, 6.3000 us/op
WorkloadActual 54: 1 op, 40300 ns, 40.3000 us/op
WorkloadActual 55: 1 op, 5100 ns, 5.1000 us/op
WorkloadActual 56: 1 op, 4800 ns, 4.8000 us/op
WorkloadActual 57: 1 op, 5100 ns, 5.1000 us/op
WorkloadActual 58: 1 op, 5200 ns, 5.2000 us/op
WorkloadActual 59: 1 op, 6100 ns, 6.1000 us/op
WorkloadActual 60: 1 op, 20000 ns, 20.0000 us/op
WorkloadActual 61: 1 op, 22900 ns, 22.9000 us/op
WorkloadActual 62: 1 op, 4900 ns, 4.9000 us/op
WorkloadActual 63: 1 op, 16100 ns, 16.1000 us/op
WorkloadActual 64: 1 op, 17300 ns, 17.3000 us/op
WorkloadActual 65: 1 op, 15700 ns, 15.7000 us/op
WorkloadActual 66: 1 op, 17900 ns, 17.9000 us/op
